id,name,party_id,election_type_id
1,丁學忠,1,2
2,傅崐萁,1,2
3,吳政杰,1,2
4,呂玉玲,1,2
5,周宏昌,1,2
6,姚正玉,1,2
7,廖偉翔,1,2
8,廖先翔,1,2
9,張斯綱,1,2
10,張智倫,1,2
11,張秀華,1,2
12,徐巧芯,1,2
13,徐欣瑩,1,2
14,曹桓榮,1,2
15,李彥秀,1,2
16,李明璇,1,2
17,李眉蓁,1,2
18,林國春,1,2
19,林家興,1,2
20,林德福,1,2
21,林思銘,1,2
22,林沛祥,1,2
23,林金結,1,2
24,楊曜聰,1,2
25,楊瓊瓔,1,2
26,江啟臣,1,2
27,洪佳君,1,2
28,洪孟楷,1,2
29,涂權吉,1,2
30,游淑慧,1,2
31,游顥,1,2
32,牛煦庭,1,2
33,王鴻薇,1,2
34,羅廷瑋,1,2
35,羅明才,1,2
36,羅智強,1,2
37,萬美玲,1,2
38,葉元之,1,2
39,蔡明堂,1,2
40,蔣欣璋,1,2
41,詹琬蓁,1,2
42,謝衣鳯,1,2
43,賴士葆,1,2
44,邱良閱,1,2
45,邱若華,1,2
46,邱鎮軍,1,2
47,鄭俊雄,1,2
48,鄭正鈐,1,2
49,鍾小平,1,2
50,鍾易仲,1,2
51,阮厚爵,1,2
52,陳以信,1,2
53,陳玉珍,1,2
54,陳美雅,1,2
55,陳若翠,1,2
56,陳雪生,1,2
57,顏寬恒,1,2
58,馬文君,1,2
59,魯明哲,1,2
60,黃健豪,1,2
61,黃建賓,1,2
62,黃明賢,1,2
63,黃柏霖,1,2
64,黃琤婷,1,2
310,孔文吉,1,3
311,盧縣一,1,3
320,鄭天財 Sra‧Kacaw,1,4
321,黃仁,1,4
329,侯友宜/趙少康,1,1
65,陳聖,2,2
66,李承龍,3,2
67,蔡念諶,4,2
68,何淯笙,5,2
69,李孟翰,5,2
70,林澤培,5,2
71,林芳竹,5,2
72,桂麗娜,5,2
73,翁藤原,5,2
74,郭啟源,5,2
75,郭炳宏,5,2
76,陳志豪,5,2
77,黃千庭,5,2
78,吳媚宮,6,2
79,何梅娟,7,2
80,何秋葺,7,2
81,余新造,7,2
82,劉承智,7,2
83,孟藹倫,7,2
84,張家榛,7,2
85,張臺勝,7,2
86,翁紹庭,7,2
87,胡金城,7,2
88,詹秋嫻,7,2
89,賴宗育,8,2
90,周玉梅,9,2
91,張雪卿,9,2
92,戴浙,9,2
93,游清池,9,2
94,熊嘉玲,9,2
95,簡銘傑,9,2
96,趙福龍,9,2
97,邱介勲,9,2
98,邱吉均,9,2
99,高士恩,9,2
100,魏趨安,9,2
101,黃啟彬,9,2
102,湛秀英,10,2
103,許文忠,10,2
104,甘乃迪,11,2
105,吳欣岱,13,2
106,林意評,13,2
107,林秋彤,14,2
108,尚文凱,15,2
109,張其祿,15,2
110,曹爾凱,15,2
111,曾尹儷,15,2
112,李慕妍,15,2
113,李有宜,15,2
114,蔡壁如,15,2
115,賴香伶,15,2
116,邱臣遠,15,2
117,陳琬惠,15,2
312,胡黃廣文,15,3
330,柯文哲/吳欣盈,15,1
118,余筱菁,16,2
119,劉佩玲,17,2
120,劉復嵐,17,2
121,張庭源,17,2
122,徐百弟,17,2
123,朱翊銘,17,2
124,楊時睿,17,2
125,羅丹,17,2
126,陳愷寧,17,2
127,陳長志,17,2
128,黃一哲,17,2
322,陳國榮,17,4
129,李昭儀,18,2
130,張華特,19,2
131,郭璽,19,2
132,劉清田,20,2
133,張烱春,20,2
134,彭振芳,20,2
135,易乃文,20,2
136,李慧曦,20,2
137,李政憲,20,2
138,林振東,20,2
139,楊清華,20,2
140,王和平統一,20,2
141,黃淑珍,20,2
313,高畹芯,20,3
142,洪麗華,21,2
143,許敬民,22,2
144,郭倍宏,23,2
145,邱紹祐,24,2
146,劉台穠,25,2
147,劉書婷,25,2
148,張芳愉,25,2
149,徐鶯慈,25,2
150,李圓恩,25,2
151,蔡善雯,25,2
152,謝海菁,25,2
153,賴宣任,25,2
154,陳玥妗,25,2
155,黃婉茹,25,2
156,劉睿宸,26,2
157,蔡承攸,26,2
158,蔡松益,26,2
159,袁興,26,2
160,游智彬,27,2
323,米甘幹．理佛克,27,4
161,王婉諭,28,2
162,邱顯智,28,2
163,何博文,29,2
164,何欣純,29,2
165,劉仁照,29,2
166,劉建國,29,2
167,吳崢,29,2
168,吳思瑤,29,2
169,吳沛憶,29,2
170,吳琪銘,29,2
171,吳秉叡,29,2
172,吳音寧,29,2
173,康世明,29,2
174,張宏陸,29,2
175,張廖萬堅,29,2
176,張美慧,29,2
177,彭俊豪,29,2
178,徐富癸,29,2
179,曾柏瑜,29,2
180,曾聖凱,29,2
181,李問,29,2
182,李坤城,29,2
183,李昆澤,29,2
184,李柏毅,29,2
185,林俊憲,29,2
186,林宜瑾,29,2
187,林岱樺,29,2
188,林志潔,29,2
189,林淑芬,29,2
190,林靜儀,29,2
191,楊曜,29,2
192,江肇國,29,2
193,王世堅,29,2
194,王定宇,29,2
195,王美惠,29,2
196,王閔生,29,2
197,羅致政,29,2
198,范綱祥,29,2
199,莊競程,29,2
200,莊銘淵,29,2
201,蔡其昌,29,2
202,蔡培慧,29,2
203,蔡易餘,29,2
204,蔡銘軒,29,2
205,蘇巧慧,29,2
206,蘇治芬,29,2
207,許智傑,29,2
208,許淑華,29,2
209,詹紀緹,29,2
210,謝佩芬,29,2
211,謝子涵,29,2
212,謝志忠,29,2
213,賴品妤,29,2
214,賴坤成,29,2
215,賴惠員,29,2
216,賴瑞隆,29,2
217,邱志偉,29,2
218,邱議瑩,29,2
219,郭國文,29,2
220,鄭文婷,29,2
221,鄭運鵬,29,2
222,鍾佳濱,29,2
223,陳亭妃,29,2
224,陳俊宇,29,2
225,陳冠廷,29,2
226,陳秀寳,29,2
227,陳素月,29,2
228,高嘉瑜,29,2
229,黃世杰,29,2
230,黃捷,29,2
231,黃秀芳,29,2
314,伍麗華 Saidhai．Tahovecahe,29,3
324,陳瑩,29,4
331,賴清德/蕭美琴,29,1
232,于美人,30,2
233,侯漢廷,30,2
234,侯陸太,30,2
235,劉櫂豪,30,2
236,劉燈鐘,30,2
237,吳炳輝,30,2
238,夏萬浪,30,2
239,孫智麗,30,2
240,廖昱婧,30,2
241,張正達,30,2
242,張維學,30,2
243,曾玟學,30,2
244,曾鈺庭,30,2
245,李全教,30,2
246,林國慶,30,2
247,林志成,30,2
248,林義迪,30,2
249,林金潭,30,2
250,林錦坤,30,2
251,柯美蘭,30,2
252,楊木火,30,2
253,楊椒喬,30,2
254,洪和成,30,2
255,洪啟修,30,2
256,洪建興,30,2
257,洪懿馥,30,2
258,王思玟,30,2
259,王榮德,30,2
260,王醒之,30,2
261,簡明廉,30,2
262,紀文清,30,2
263,紀銘修,30,2
264,苗豐隆,30,2
265,葉堂宇,30,2
266,蔣月惠,30,2
267,蘇卿彥,30,2
268,蘇孟淳,30,2
269,蘇群傑,30,2
270,蘇輝湟,30,2
271,許瑞貴,30,2
272,許盛鋒,30,2
273,許願神,30,2
274,賀姿華,30,2
275,賴信全,30,2
276,趙正宇,30,2
277,鄭添泉,30,2
278,陳俊龍,30,2
279,陳志彬,30,2
280,陳慧娟,30,2
281,陳昆和,30,2
282,陳東雲,30,2
283,陳永和,30,2
284,陳源發,30,2
285,陳燕玉,30,2
286,陳癸佑,30,2
287,陳維新,30,2
288,陳超明,30,2
289,陳銓霖,30,2
290,陳長宏,30,2
291,陳韋安,30,2
292,馬治薇,30,2
293,魏耀乾,30,2
294,黃傑陽,30,2
295,黃明莉,30,2
296,黃瑞傳,30,2
315,張子孝,30,3
316,李我要單列族名我的布農族名字是Savungaz Valincinan,30,3
317,林世偉,30,3
318,林果,30,3
319,高金素梅,30,3
325,吳建智咖啡哥,30,4
326,忠仁．達祿斯,30,4
327,陳政宗,30,4
328,高美珠,30,4
297,苗博雅,31,2
298,蘇諍,32,2
299,崔建章,33,2
300,李佳蒨,33,2
301,李海碩,33,2
302,林中翊,33,2
303,林智勲,33,2
304,蕭燐洪,33,2
305,謝旻汎,33,2
306,鄭錫懋,33,2
307,陳一郎,33,2
308,陳執中,33,2
309,胡之壯,34,2
